,Tags,Name,Score,Rank
132,JQRUVYY,Cgn Warriors,59463,133
133,90VP2CVJ,ClashWithClass™,59455,134
134,99CPV828,49™ Warriors,59441,135
135,LULGR,廃人会,59410,136
136,9CL9LJGP,Nova I stones,59363,137
137,P2PYJCR9,RomaniaWarlords,59362,138
138,PYR0J8PR,Clash2IT Bangla,59361,139
139,P8GLLLPR,ホワイトルシアン❤,59351,140
140,9Y22PVJG,ME PUNISHERS,59348,141
141,9YCGJ9UQ,Golems Vendetta,59344,142
142,8YGRJ8GG,Nova I Iran,59340,143
143,8PQCCRGC,EspectroS,59339,144
144,YPRPYJY9,StarAlliance jp,59331,145
145,90RVVC82,HongKong Elite,59328,146
146,R2GUP0,赤尾赤色之尾,59314,147
147,PQJ2Y,RoyaleConQueso,59310,148
148,YUG09YUG,Eldonsir☆ᶳᵗᵃʳᶳ★,59294,149
149,P0CJUG28,RoyalFlush™ DE,59292,150
150,9J20GC8Y,درع الجزيره,59261,151
151,8VUQQY09,ちょーるじま♡,59258,152
152,92P0982J,MG Stars FLY,59252,153
153,9P9GQC0V,Super Warrior’S,59250,154
154,Y80LU2G2,GHOST,59234,155
155,29CPJ8Y0,花言葉～Momo～,59225,156
156,UYQRCQY,NEXTRY,59225,157
157,9YJGVCPQ,LimiT eSports,59220,158
158,QY082V,無言クラン,59203,159
159,9P2J2Q0P,DEVLET-İ ALİYYE,59197,160
160,2RV8YLJQ,! Innommables ¡,59191,161
161,PQR0J929,LOS MONJES,59176,162
162,8QR0L0Y0,JORDAN GLORY,59161,163
163,9VCLLQCV,Dark Gaming,59160,164
164,28JR0UUL,REBIRTH,59157,165
165,8JV9VQY9,Shot de Catuaba,59155,166
166,9P2VJL9G,x6tence Club,59144,167
167,8Y0LR8GU,Nova I Iran 2,59131,168
168,8CQLP9CP,Nova l Hellas,59129,169
169,2GP0L09,上海 OP 千阳号,59114,170
170,99PJ99P8,Zion Hammer™️,59106,171
171,PLG0U8LY,LADDER⭐️GODZ,59103,172
172,PQ009JV,LENDAS DO CLASH,59095,173
173,V0U,ジェンコ・オリーブ商会,59095,174
174,9PVVYY2P,!E8区•时光當铺.﹏゜⛵﹎⌒,59092,175
175,9J98PRJY,Colombia eSport,59089,176
176,8QCVG8VG,JSG I 廣州,59071,177
177,29Y2UL82,Woodland,59066,178
178,9LRPLCPQ,BosnianLegends,59053,179
179,YVRVQ9L,アイスおじさん愛好会,59050,180
180,9JYR0VYG,⚡️SD United⚡️,59042,181
181,2RY8CY2C,星を数えるアクアリウム,59035,182
182,82PPURGV,BrengiTitans,59034,183
183,8LJYQ2VC,탑스트라이커 A,59031,184
184,8LVCYGVU,Purple Stars,58990,185
185,92U8QGCV,x6tence Club 2,58984,186
186,PGUGCRQ9,FVESL KIX MY™️,58981,187
187,29YY8L89,娱乐至上,58976,188
188,PGJL2PPG,Dark Knights Sv,58967,189
189,P90C9YUJ,3つの心臓を持つタコ,58964,190
190,P282J9R9,ZERØZONE,58950,191
